学校名称	英文名称
北京大学	Peking University
中国人民大学	Renmin university of China
清华大学	Tsinghua university
北京交通大学	Beijing jiaotong university
北京工业大学	Beijing university of technology
北京航空航天大学	Beihang university
北京理工大学	Beijing institute of technology
北京科技大学	University of science and technology Beijing 
北京化工大学	Beijing university of chemical technology
北京邮电大学	Beijing University of Posts & Telecommunications
中国农业大学	China agricultural university
北京林业大学	Beijing forestry university
北京中医药大学	Beijing university of  Chinese medicine
北京师范大学	Beijing normal university
中国传媒大学	Communication university of China
中央民族大学	Minzu University of China
中国政法大学	China university of political science and law
华北电力大学	North China electric power university
中国矿业大学(北京)	China university of mining and technology (Beijing)
中国石油大学(北京)	China university of petroleum (Beijing)
中国地质大学(北京)	China university of geosciences (Beijing)
南开大学	Nankai university
天津大学	Tianjin university
天津医科大学	Tianjin medical university
河北大学	Hebei university
河北工业大学	Hebei university of technology
山西大学	Shanxi university
太原理工大学	Taiyuan university of technology
内蒙古大学	Inner Mongolia university
辽宁大学	Liaoning university
大连理工大学	Dalian university of technology
东北大学	Northeastern university
大连海事大学	Dalian maritime university
吉林大学	Jilin university
延边大学	Yanbian university
东北师范大学	Northeast normal university
哈尔滨工业大学	Harbin Institute of Technology
哈尔滨工程大学	Harbin engineering university
东北农业大学	Northeast agricultural university
东北林业大学	Northeast forestry university
复旦大学	Fudan university
同济大学	Tongji university
上海交通大学	Shanghai jiao tong university
华东理工大学	East China university of science and technology
东华大学	Donghua university
华东师范大学	East China normal university
上海大学	Shanghai university
南京大学	Nanjing university
苏州大学	Suzhou university
东南大学	Southeast university
南京航空航天大学	Nanjing university of aeronautics and astronautics
南京理工大学	Nanjing university of science and technology
中国矿业大学	China university of mining and technology
河海大学	Hohai university
江南大学	Jiangnan university
南京农业大学	Nanjing agricultural university
中国药科大学	China pharmaceutical university
南京师范大学	Nanjing normal university
浙江大学	Zhejiang university
浙江工业大学	Zhejiang university of technology
安徽大学	Anhui university
中国科学技术大学	University of science and technology of China
合肥工业大学	Hefei university of technology
厦门大学	Xiamen university
福州大学	Fuzhou university
南昌大学	Nanchang university
井冈山大学	Jinggangshan university
南昌师范学院	Nanchang normal university
山东大学	Shandong university
中国海洋大学	Ocean university of China
中国石油大学(华东)	China university of petroleum
郑州大学	Zhengzhou university
河南大学	Henan university
武汉大学	Wuhan university.
华中科技大学	Huazhong university of science and technology
中国地质大学(武汉)	China university of geosciences (wuhan)
武汉理工大学	Wuhan university of technology
华中农业大学	Huazhong agricultural university
华中师范大学	Central China normal university
湘潭大学	Xiangtan university
湖南大学	Hunan university
中南大学	Central south university
湖南师范大学	Hunan normal university
中山大学	Sun yat-sen university
暨南大学	Jinan university
华南理工大学	South China university of technology
华南师范大学	South China normal university
广西大学	Guangxi university
海南大学	Hainan university
重庆大学	Chongqing university
西南大学	Southwest university
四川大学	Sichuan university
西南交通大学	Southwest jiaotong university
电子科技大学	University of electronic science and technology of China
四川农业大学	Sichuan agricultural university
西南财经大学	Southwest university of finance and economics
贵州大学	Guizhou university
云南大学	Yunnan university
西藏大学	Tibet university
西北大学	Northwest university
西安交通大学	Xi 'an jiaotong university
西北工业大学	Northwestern polytechnic university
西安电子科技大学	Xidian university
长安大学	Chang 'an university
西北农林科技大学	Northwest agricultural and forestry university
陕西师范大学	Shaanxi normal university
延安大学	Yanan university
兰州大学	Lanzhou university
西北师范大学	Northwest normal university
青海大学	Qinghai university
宁夏大学	Ningxia university
新疆大学	Xinjiang university
石河子大学	Shihezi university
北方工业大学	North China university of technology
北京工商大学	Beijing Technology and Business University
北京服装学院	Beijing institute of fashion technology
北京印刷学院	Beijing Institute of Graphic Communication
北京建筑大学	Beijing university of civil engineering and architecture
北京石油化工学院	Beijing institute of petrochemical technology
北京电子科技学院	Beijing electronic science and technology institute 
北京农学院	Beijing University of agriculture
首都医科大学	Capital medical university
